siteid,eventid,individualid,growthform,stemdiameter,basalstemdiametermeasurementheight,maxcrowndiameter,vdapexbreakheight,maxbasecrowndiameter,samplingprotocolversion,plotid,tagid,plantstatus,measurementheight,vdapexheight,ninetycrowndiameter,vdbasebreakheight,ninetybasecrowndiameter,remarks,date,domainid,subplotid,nestedsubplotid,tagstatus,shape,basalstemdiameter,vdbaseheight,canopyposition,breakdiameter,basecrownheight,dataqf,plotType,subtype
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03549,smt,2.4,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3549,6,10,0.2,NA,NA,NA,Scorched crown ,2016-09-12T00:00:00.000Z,D03,NA,NA,ok,NA,NA,0,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03483B,mbt,6.5,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,03483B,1,130,NA,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,39,NA,ok,NA,NA,NA,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03554,mbt,NA,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3554,14,NA,NA,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,39,TRUE,unknown,NA,NA,NA,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03556,mbt,NA,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3556,14,NA,NA,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,39,TRUE,unknown,NA,NA,NA,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03557,mbt,NA,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3557,14,NA,NA,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,39,TRUE,unknown,NA,NA,NA,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03558,mbt,NA,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3558,14,NA,NA,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,39,TRUE,unknown,NA,NA,NA,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03561,mbt,NA,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3561,14,NA,NA,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,39,TRUE,ok,NA,NA,NA,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03562,mbt,NA,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3562,14,NA,NA,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,39,TRUE,unknown,NA,NA,NA,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03580,mbt,NA,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3580,14,NA,NA,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,39,TRUE,unknown,NA,NA,NA,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03578,mbt,NA,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3578,14,NA,NA,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,39,TRUE,unknown,NA,NA,NA,NA,NA,NA,NA,tower,basePlot
